,word,pos,definition
151295,Style,v. t.,"A mode of reckoning time, with regard to the Julian and Gregorian calendars."
151298,Style,v. t.,"To entitle; to term, name, or call; to denominate."
151352,Suade,v. t.,To persuade.
151354,Suage,v. t.,To assuage.
151355,Suant,a.,Spread equally over the surface; uniform; even.
151360,Suave,a.,Sweet; pleasant; delightful; gracious or agreeable in manner; bland.
152152,-ties,pl. ,of Subvariety
152271,Succi,pl. ,of Succus
152331,Sucre,n.,"A silver coin of Ecuador, worth 68 cents."
152362,Sudra,n.,The lowest of the four great castes among the Hindoos. See Caste.
152365,Suing,p. pr. & vb. n.,of Sue
152375,Suent,a.,Uniformly or evenly distributed or spread; even; smooth. See Suant.
152379,Suety,a.,"Consisting of, or resembling, suet; as, a suety substance."
152482,Sugar,n.,"A sweet white (or brownish yellow) crystalline substance, of a sandy or granular consistency, obtained by crystallizing the evaporated juice of certain plants, as the sugar cane, sorghum, beet root, sugar maple, etc. It is used for seasoning and preserving many kinds of food and drink. Ordinary sugar is essentially sucrose. See the Note below."
152483,Sugar,n.,"By extension, anything resembling sugar in taste or appearance; as, sugar of lead (lead acetate), a poisonous white crystalline substance having a sweet taste."
152484,Sugar,n.,Compliment or flattery used to disguise or render acceptable something obnoxious; honeyed or soothing words.
152485,Sugar,v. i.,"In making maple sugar, to complete the process of boiling down the sirup till it is thick enough to crystallize; to approach or reach the state of granulation; -- with the preposition off."
152488,Sugar,v. t.,"To impregnate, season, cover, or sprinkle with sugar; to mix sugar with."
152489,Sugar,v. t.,"To cover with soft words; to disguise by flattery; to compliment; to sweeten; as, to sugar reproof."
152530,Suine,n.,A mixture of oleomargarine with lard or other fatty ingredients. It is used as a substitute for butter. See Butterine.
152531,Suing,n.,The process of soaking through anything.
152533,Suint,n.,"A peculiar substance obtained from the wool of sheep, consisting largely of potash mixed with fatty and earthy matters. It is used as a source of potash and also for the manufacture of gas."
152535,Suist,n.,One who seeks for things which gratify merely himself; a selfish person; a selfist.
152554,Suite,n.,"A retinue or company of attendants, as of a distinguished personage; as, the suite of an ambassador. See Suit, n., 5."
152555,Suite,n.,"A connected series or succession of objects; a number of things used or clessed together; a set; as, a suite of rooms; a suite of minerals. See Suit, n., 6."
152556,Suite,n.,"One of the old musical forms, before the time of the more compact sonata, consisting of a string or series of pieces all in the same key, mostly in various dance rhythms, with sometimes an elaborate prelude. Some composers of the present day affect the suite form."
152569,Sulci,pl. ,of Sulcus
152577,Sulks,n. pl.,"The condition of being sulky; a sulky mood or humor; as, to be in the sulks."
152578,Sulky,n.,Moodly silent; sullen; sour; obstinate; morose; splenetic.
152580,Sulky,a.,A light two-wheeled carriage for a single person.
152599,Sully,v. t.,"To soil; to dirty; to spot; to tarnish; to stain; to darken; -- used literally and figuratively; as, to sully a sword; to sully a person's reputation."
152600,Sully,v. i.,To become soiled or tarnished.
152602,Sully,n.,Soil; tarnish; stain.
152704,Sumac,n.,Alt. of Sumach
152760,Sumph,n.,A dunce; a blockhead.
152832,Sunna,n.,A collection of traditions received by the orthodox Mohammedans as of equal authority with the Koran.
152837,Sunny,superl.,"Of or pertaining to the sun; proceeding from, or resembling the sun; hence, shining; bright; brilliant; radiant."
152838,Sunny,superl.,"Exposed to the rays of the sun; brightened or warmed by the direct rays of the sun; as, a sunny room; the sunny side of a hill."
152839,Sunny,superl.,"Cheerful; genial; as, a sunny disposition."
152840,Sunny,n.,See Sunfish (b).
152863,Sunup,n.,Sunrise.
152876,Super,n.,"A contraction of Supernumerary, in sense  2."
153008,-cies,pl. ,of Superintendency
153344,Supra,adv.,"Over; above; before; also, beyond; besides; -- much used as a prefix."
153428,Surah,n.,A soft twilled silk fabric much used for women's dresses; -- called also surah silk.
153429,Sural,a.,"Of or pertaining to the calf of the leg; as, the sural arteries."
153534,Surfy,a.,"Consisting of, abounding in, or resembling, surf; as, a surfy shore."
153535,Surge,n.,A spring; a fountain.
153536,Surge,n.,"A large wave or billow; a great, rolling swell of water, produced generally by a high wind."
153537,Surge,n.,"The motion of, or produced by, a great wave."
153538,Surge,n.,"The tapered part of a windlass barrel or a capstan, upon which the cable surges, or slips."
153539,Surge,v. i.,To swell; to rise hifg and roll.
153540,Surge,v. i.,To slip along a windlass.
153543,Surge,n.,"To let go or slacken suddenly, as a rope; as, to surge a hawser or messenger; also, to slacken the rope about (a capstan)."
153555,Surgy,a.,Rising in surges or billows; full of surges; resembling surges in motion or appearance; swelling.
153563,Surly,a.,Arrogant; haughty.
153564,Surly,a.,"Gloomily morose; ill-natured, abrupt, and rude; severe; sour; crabbed; rough; sullen; gloomy; as, a surly groom; a surly dog; surly language; a surly look."
153565,Surly,a.,Rough; dark; tempestuous.
153857,Sutor,n.,A kind of sirup made by the Indians of Arizona from the fruit of some cactaceous plant (probably the Cereus giganteus).
153859,Sutra,n.,A precept; an aphorism; a brief rule.
153860,Sutra,n.,A collection of such aphorisms.
153861,Sutra,n.,"A body of Hindoo literature containing aphorisms on grammar, meter, law, and philosophy, and forming a connecting link between the Vedic and later Sanscrit literature."
153919,Swage,v. t. & i.,See Assuage.
153920,Swage,n.,"A tool, variously shaped or grooved on the end or face, used by blacksmiths and other workers in metals, for shaping their work, whether sheet metal or forging, by holding the swage upon the work, or the work upon the swage, and striking with a sledge."
153921,Swage,v. t.,"To shape by means of a swage; to fashion, as a piece of iron, by forcing it into a groove or mold having the required shape."
153930,Swain,n.,A servant.
153931,Swain,n.,"A young man dwelling in the country; a rustic; esp., a cuntry gallant or lover; -- chiefly in poetry."
153936,Swaip,v. i.,To walk proudly; to sweep along.
153938,Swale,n.,"A valley or low place; a tract of low, and usually wet, land; a moor; a fen."
153939,Swale,v. i. & t.,"To melt and waste away; to singe. See Sweal, v."
153940,Swale,n.,A gutter in a candle.
153975,Swamp,n.,"Wet, spongy land; soft, low ground saturated with water, but not usually covered with it; marshy ground away from the seashore."
153978,Swamp,v. t.,To plunge or sink into a swamp.
153979,Swamp,v. t.,To cause (a boat) to become filled with water; to capsize or sink by whelming with water.
153980,Swamp,v. t.,Fig.: To plunge into difficulties and perils; to overwhelm; to ruin; to wreck.
153981,Swamp,v. i.,"To sink or stick in a swamp; figuratively, to become involved in insuperable difficulties."
153982,Swamp,v. i.,"To become filled with water, as a boat; to founder; to capsize or sink; figuratively, to be ruined; to be wrecked."
153987,Swang,,imp. of Swing.
153988,Swang,n.,A swamp.
154014,Swape,n.,"See Sweep, n., 12."
154015,Sward,n.,Skin; covering.
154016,Sward,n.,The grassy surface of land; that part of the soil which is filled with the roots of grass; turf.
154019,Sward,v. t. & i.,"To produce sward upon; to cover, or be covered, with sward."
154024,Sware,,imp. of Swear.
154025,Swarf,v. i.,To grow languid; to faint.
154026,Swarf,n.,The grit worn away from grindstones in grinding cutlery wet.
154027,Swarm,v. i.,"To climb a tree, pole, or the like, by embracing it with the arms and legs alternately. See Shin."
154028,Swarm,n.,"A large number or mass of small animals or insects, especially when in motion."
154029,Swarm,n.,"Especially, a great number of honeybees which emigrate from a hive at once, and seek new lodgings under the direction of a queen; a like body of bees settled permanently in a hive."
154030,Swarm,n.,"Hence, any great number or multitude, as of people in motion, or sometimes of inanimate objects; as, a swarm of meteorites."
154033,Swarm,v. i.,"To collect, and depart from a hive by flight in a body; -- said of bees; as, bees swarm in warm, clear days in summer."
154034,Swarm,v. i.,To appear or collect in a crowd; to throng together; to congregate in a multitude.
154035,Swarm,v. i.,To be crowded; to be thronged with a multitude of beings in motion.
154036,Swarm,v. i.,To abound; to be filled (with).
154037,Swarm,v. i.,To breed multitudes.
154038,Swarm,v. t.,To crowd or throng.
154041,Swart,n.,Sward.
154042,Swart,a.,Of a dark hue; moderately black; swarthy; tawny.
154043,Swart,a.,Gloomy; malignant.
154044,Swart,v. t.,"To make swart or tawny; as, to swart a living part."
154061,Swash,v. t.,"An oval figure, whose moldings are oblique to the axis of the work."
154062,Swash,v. t.,"Soft, like fruit too ripe; swashy."
154065,Swash,v. i.,"To dash or flow noisily, as water; to splash; as, water swashing on a shallow place."
154066,Swash,v. i.,To fall violently or noisily.
154067,Swash,v. i.,To bluster; to make a great noise; to vapor or brag.
154068,Swash,n.,Impulse of water flowing with violence; a dashing or splashing of water.
154069,Swash,n.,"A narrow sound or channel of water lying within a sand bank, or between a sand bank and the shore, or a bar over which the sea washes."
154070,Swash,n.,Liquid filth; wash; hog mash.
154071,Swash,n.,A blustering noise; a swaggering behavior.
154072,Swash,n.,A swaggering fellow; a swasher.
154082,Swate,,imp. of Sweat.
154083,Swath,v. t.,A line of grass or grain cut and thrown together by the scythe in mowing or cradling.
154084,Swath,v. t.,"The whole sweep of a scythe, or the whole breadth from which grass or grain is cut by a scythe or a machine, in mowing or cradling; as, to cut a wide swath."
154085,Swath,v. t.,A band or fillet; a swathe.
154114,Sweal,v. i.,"To melt and run down, as the tallow of a candle; to waste away without feeding the flame."
154115,Sweal,v. t.,"To singe; to scorch; to swale; as, to sweal a pig by singeing off the hair."
154116,Swore,imp.,of Swear
154117,Sware,,of Swear
154118,Sworn,p. p.,of Swear
154120,Swear,v. i.,"To affirm or utter a solemn declaration, with an appeal to God for the truth of what is affirmed; to make a promise, threat, or resolve on oath; also, to affirm solemnly by some sacred object, or one regarded as sacred, as the Bible, the Koran, etc."
154121,Swear,v. i.,"To give evidence on oath; as, to swear to the truth of a statement; he swore against the prisoner."
154122,Swear,v. i.,To make an appeal to God in an irreverant manner; to use the name of God or sacred things profanely; to call upon God in imprecation; to curse.
154123,Swear,v. t.,"To utter or affirm with a solemn appeal to God for the truth of the declaration; to make (a promise, threat, or resolve) under oath."
154124,Swear,v. t.,"To put to an oath; to cause to take an oath; to administer an oath to; -- ofetn followed by in or into; as, to swear witnesses; to swear a jury; to swear in an officer; he was sworn into office."
154125,Swear,v. t.,"To declare or charge upon oath; as, he swore treason against his friend."
154126,Swear,v. t.,To appeal to by an oath.
154130,Sweat,imp. & p. p.,of Sweat
154134,Sweat,v. i.,To excrete sensible moisture from the pores of the skin; to perspire.
154135,Sweat,v. i.,Fig.: To perspire in toil; to work hard; to drudge.
154136,Sweat,v. i.,"To emit moisture, as green plants in a heap."
154137,Sweat,v. t.,"To cause to excrete moisture from the skin; to cause to perspire; as, his physicians attempted to sweat him by most powerful sudorifics."
154138,Sweat,v. t.,To emit or suffer to flow from the pores; to exude.
154139,Sweat,v. t.,"To unite by heating, after the application of soldier."
154140,Sweat,v. t.,"To get something advantageous, as money, property, or labor from (any one), by exaction or oppression; as, to sweat a spendthrift; to sweat laborers."
154141,Sweat,v. i.,"The fluid which is excreted from the skin of an animal; the fluid secreted by the sudoriferous glands; a transparent, colorless, acid liquid with a peculiar odor, containing some fatty acids and mineral matter; perspiration. See Perspiration."
154142,Sweat,v. i.,"The act of sweating; or the state of one who sweats; hence, labor; toil; drudgery."
154143,Sweat,v. i.,"Moisture issuing from any substance; as, the sweat of hay or grain in a mow or stack."
154144,Sweat,v. i.,The sweating sickness.
154145,Sweat,v. i.,A short run by a race horse in exercise.
154157,Swede,n.,A native or inhabitant of Sweden.
154158,Swede,n.,A Swedish turnip. See under Turnip.
154165,Swept,imp. & p. p.,of Sweep
154167,Sweep,v. i.,"To pass a broom across (a surface) so as to remove loose dirt, dust, etc.; to brush, or rub over, with a broom for the purpose of cleaning; as, to sweep a floor, the street, or a chimney. Used also figuratively."
154168,Sweep,v. i.,"To drive or carry along or off with a broom or a brush, or as if with a broom; to remove by, or as if by, brushing; as, to sweep dirt from a floor; the wind sweeps the snow from the hills; a freshet sweeps away a dam, timber, or rubbish; a pestilence sweeps off multitudes."
154169,Sweep,v. i.,To brush against or over; to rub lightly along.
154170,Sweep,v. i.,"To carry with a long, swinging, or dragging motion; hence, to carry in a stately or proud fashion."
154171,Sweep,v. i.,To strike with a long stroke.
154172,Sweep,v. i.,"To draw or drag something over; as, to sweep the bottom of a river with a net."
154173,Sweep,v. i.,"To pass over, or traverse, with the eye or with an instrument of observation; as, to sweep the heavens with a telescope."
154174,Sweep,v. i.,"To clean rooms, yards, etc., or to clear away dust, dirt, litter, etc., with a broom, brush, or the like."
154175,Sweep,v. i.,"To brush swiftly over the surface of anything; to pass with switness and force, as if brushing the surface of anything; to move in a stately manner; as, the wind sweeps across the plain; a woman sweeps through a drawing-room."
154176,Sweep,v. i.,"To pass over anything comprehensively; to range through with rapidity; as, his eye sweeps through space."
154177,Sweep,n.,The act of sweeping.
154178,Sweep,n.,"The compass or range of a stroke; as, a long sweep."
154179,Sweep,n.,"The compass of any turning body or of any motion; as, the sweep of a door; the sweep of the eye."
154180,Sweep,n.,"The compass of anything flowing or brushing; as, the flood carried away everything within its sweep."
154181,Sweep,n.,"Violent and general destruction; as, the sweep of an epidemic disease."
154182,Sweep,n.,"Direction and extent of any motion not rectlinear; as, the sweep of a compass."
154183,Sweep,n.,"Direction or departure of a curve, a road, an arch, or the like, away from a rectlinear line."
154184,Sweep,n.,"One who sweeps; a sweeper; specifically, a chimney sweeper."
154185,Sweep,n.,"A movable templet for making molds, in loam molding."
154186,Sweep,n.,The mold of a ship when she begins to curve in at the rungheads; any part of a ship shaped in a segment of a circle.
154187,Sweep,n.,"A large oar used in small vessels, partly to propel them and partly to steer them."
154188,Sweep,n.,The almond furnace.
154189,Sweep,n.,"A long pole, or piece of timber, moved on a horizontal fulcrum fixed to a tall post and used to raise and lower a bucket in a well for drawing water."
154190,Sweep,n.,"In the game of casino, a pairing or combining of all the cards on the board, and so removing them all; in whist, the winning of all the tricks (thirteen) in a hand; a slam."
154191,Sweep,n.,"The sweeping of workshops where precious metals are worked, containing filings, etc."
154204,Sweet,superl.,"Having an agreeable taste or flavor such as that of sugar; saccharine; -- opposed to sour and bitter; as, a sweet beverage; sweet fruits; sweet oranges."
154205,Sweet,superl.,"Pleasing to the smell; fragrant; redolent; balmy; as, a sweet rose; sweet odor; sweet incense."
154206,Sweet,superl.,"Pleasing to the ear; soft; melodious; harmonious; as, the sweet notes of a flute or an organ; sweet music; a sweet voice; a sweet singer."
154207,Sweet,superl.,"Pleasing to the eye; beautiful; mild and attractive; fair; as, a sweet face; a sweet color or complexion."
154208,Sweet,superl.,"Fresh; not salt or brackish; as, sweet water."
154209,Sweet,superl.,"Not changed from a sound or wholesome state. Specifically: (a) Not sour; as, sweet milk or bread. (b) Not state; not putrescent or putrid; not rancid; as, sweet butter; sweet meat or fish."
154210,Sweet,superl.,"Plaesing to the mind; mild; gentle; calm; amiable; winning; presuasive; as, sweet manners."
154211,Sweet,n.,That which is sweet to the taste; -- used chiefly in the plural.
154212,Sweet,n.,"Confectionery, sweetmeats, preserves, etc."
154213,Sweet,n.,"Home-made wines, cordials, metheglin, etc."
154214,Sweet,n.,That which is sweet or pleasant in odor; a perfume.
154215,Sweet,n.,"That which is pleasing or grateful to the mind; as, the sweets of domestic life."
154216,Sweet,n.,One who is dear to another; a darling; -- a term of endearment.
154217,Sweet,adv.,Sweetly.
154218,Sweet,v. t.,To sweeten.
154261,Swell,v. i.,"To grow larger; to dilate or extend the exterior surface or dimensions, by matter added within, or by expansion of the inclosed substance; as, the legs swell in dropsy; a bruised part swells; a bladder swells by inflation."
154262,Swell,v. i.,"To increase in size or extent by any addition; to increase in volume or force; as, a river swells, and overflows its banks; sounds swell or diminish."
154263,Swell,v. i.,"To rise or be driven into waves or billows; to heave; as, in tempest, the ocean swells into waves."
154264,Swell,v. i.,"To be puffed up or bloated; as, to swell with pride."
154265,Swell,v. i.,"To be inflated; to belly; as, the sails swell."
154266,Swell,v. i.,"To be turgid, bombastic, or extravagant; as, swelling words; a swelling style."
154267,Swell,v. i.,"To protuberate; to bulge out; as, a cask swells in the middle."
154268,Swell,v. i.,To be elated; to rise arrogantly.
154269,Swell,v. i.,To grow upon the view; to become larger; to expand.
154270,Swell,v. i.,"To become larger in amount; as, many little debts added, swell to a great amount."
154271,Swell,v. i.,"To act in a pompous, ostentatious, or arrogant manner; to strut; to look big."
154272,Swell,v. t.,"To increase the size, bulk, or dimensions of; to cause to rise, dilate, or increase; as, rains and dissolving snow swell the rivers in spring; immigration swells the population."
154273,Swell,v. t.,To aggravate; to heighten.
154274,Swell,v. t.,"To raise to arrogance; to puff up; to inflate; as, to be swelled with pride or haughtiness."
154275,Swell,v. t.,"To augment gradually in force or loudness, as the sound of a note."
154276,Swell,n.,The act of swelling.
154277,Swell,n.,Gradual increase.
154278,Swell,n.,Increase or augmentation in bulk; protuberance.
154279,Swell,n.,Increase in height; elevation; rise.
154280,Swell,n.,"Increase of force, intensity, or volume of sound."
154281,Swell,n.,"Increase of power in style, or of rhetorical force."
154282,Swell,n.,"A gradual ascent, or rounded elevation, of land; as, an extensive plain abounding with little swells."
154283,Swell,n.,"A wave, or billow; especially, a succession of large waves; the roll of the sea after a storm; as, a heavy swell sets into the harbor."
154284,Swell,n.,A gradual increase and decrease of the volume of sound; the crescendo and diminuendo combined; -- generally indicated by the sign.
154285,Swell,n.,"A showy, dashing person; a dandy."
154286,Swell,a.,"Having the characteristics of a person of rank and importance; showy; dandified; distinguished; as, a swell person; a swell neighborhood."
154294,Swelt,,imp. of Swell.
154295,Swelt,v. i.,To die; to perish.
154296,Swelt,v. i.,To faint; to swoon.
154297,Swelt,v. t.,"To overpower, as with heat; to cause to faint; to swelter."
154306,Swept,,imp. & p. p. of Sweep.
154307,Swerd,n. & v.,"See Sward, n. & v."
154308,Swerd,n.,Sword.
154318,Swich,a.,Such.
154320,Swift,v. i.,Moving a great distance in a short time; moving with celerity or velocity; fleet; rapid; quick; speedy; prompt.
154321,Swift,v. i.,Of short continuance; passing away quickly.
154322,Swift,adv.,Swiftly.
154323,Swift,n.,The current of a stream.
154324,Swift,n.,"Any one of numerous species of small, long-winged, insectivorous birds of the family Micropodidae. In form and habits the swifts resemble swallows, but they are destitute of complex vocal muscles and are not singing birds, but belong to a widely different group allied to the humming birds."
154325,Swift,n.,"Any one of several species of lizards, as the pine lizard."
154326,Swift,n.,The ghost moth. See under Ghost.
154327,Swift,n.,"A reel, or turning instrument, for winding yarn, thread, etc.; -- used chiefly in the plural."
154328,Swift,n.,The main card cylinder of a flax-carding machine.
154347,Swill,v. t.,To wash; to drench.
154348,Swill,n.,To drink in great draughts; to swallow greedily.
154349,Swill,n.,To inebriate; to fill with drink.
154350,Swill,v. i.,To drink greedily or swinishly; to drink to excess.
154351,Swill,n.,"The wash, or mixture of liquid substances, given to swine; hogwash; -- called also swillings."
154352,Swill,n.,Large draughts of liquor; drink taken in excessive quantities.
154390,Swine,n.,"Any animal of the hog kind, especially one of the domestical species. Swine secrete a large amount of subcutaneous fat, which, when extracted, is known as lard. The male is specifically called boar, the female, sow, and the young, pig. See Hog."
154402,Swung,imp. & p. p.,of Swing
154403,Swang,Archaic imp.,of Swing
154405,Swing,v. i.,"To move to and fro, as a body suspended in the air; to wave; to vibrate; to oscillate."
154406,Swing,v. i.,"To sway or move from one side or direction to another; as, the door swung open."
154407,Swing,v. i.,"To use a swing; as, a boy swings for exercise or pleasure. See Swing, n., 3."
154408,Swing,n.,"To turn round by action of wind or tide when at anchor; as, a ship swings with the tide."
154409,Swing,n.,To be hanged.
154410,Swing,v. t.,"To cause to swing or vibrate; to cause to move backward and forward, or from one side to the other."
154411,Swing,v. t.,"To give a circular movement to; to whirl; to brandish; as, to swing a sword; to swing a club; hence, colloquially, to manage; as, to swing a business."
154412,Swing,v. t.,"To admit or turn (anything) for the purpose of shaping it; -- said of a lathe; as, the lathe can swing a pulley of 12 inches diameter."
154413,Swing,n.,"The act of swinging; a waving, oscillating, or vibratory motion of a hanging or pivoted object; oscillation; as, the swing of a pendulum."
154414,Swing,n.,"Swaying motion from one side or direction to the other; as, some men walk with a swing."
154415,Swing,n.,"A line, cord, or other thing suspended and hanging loose, upon which anything may swing; especially, an apparatus for recreation by swinging, commonly consisting of a rope, the two ends of which are attached overhead, as to the bough of a tree, a seat being placed in the loop at the bottom; also, any contrivance by which a similar motion is produced for amusement or exercise."
154416,Swing,n.,Influence of power of a body put in swaying motion.
154417,Swing,n.,"Capacity of a turning lathe, as determined by the diameter of the largest object that can be turned in it."
154418,Swing,n.,Free course; unrestrained liberty or license; tendency.
154448,Swank,imp.,of Swink
154449,Swonk,,of Swink
154452,Swink,v. i.,To labor; to toil; to salve.
154453,Swink,v. t.,To cause to toil or drudge; to tire or exhaust with labor.
154454,Swink,v. t.,To acquire by labor.
154455,Swink,n.,Labor; toil; drudgery.
154458,Swipe,n.,A swape or sweep. See Sweep.
154459,Swipe,n.,"A strong blow given with a sweeping motion, as with a bat or club."
154460,Swipe,n.,"Poor, weak beer; small beer."
154463,Swipe,v. t.,"To give a swipe to; to strike forcibly with a sweeping motion, as a ball."
154464,Swipe,v. t.,To pluck; to snatch; to steal.
154469,Swirl,n.,"To whirl, or cause to whirl, as in an eddy."
154470,Swirl,n.,"A whirling motion; an eddy, as of water; a whirl."
154471,Swish,v. t.,"To flourish, so as to make the sound swish."
154472,Swish,v. t.,To flog; to lash.
154473,Swish,v. i.,To dash; to swash.
154474,Swish,n.,"A sound of quick movement, as of something whirled through the air."
154475,Swish,n.,Light driven spray.
154476,Swiss,n.sing. & pl.,A native or inhabitant of Switzerland; a Switzer; the people of Switzerland.
154477,Swiss,a.,"Of or pertaining to Switzerland, or the people of Switzerland."
154497,Swive,v. t.,To copulate with (a woman).
154509,Swoln,,"Contraction of Swollen, p. p."
154513,Swoon,v. i.,"To sink into a fainting fit, in which there is an apparent suspension of the vital functions and mental powers; to faint; -- often with away."
154514,Swoon,n.,A fainting fit; syncope.
154518,Swoop,n.,"To fall on at once and seize; to catch while on the wing; as, a hawk swoops a chicken."
154519,Swoop,n.,To seize; to catch up; to take with a sweep.
154520,Swoop,v. i.,"To descend with closed wings from a height upon prey, as a hawk; to swoop."
154521,Swoop,v. i.,To pass with pomp; to sweep.
154522,Swoop,n.,"A falling on and seizing, as the prey of a rapacious bird; the act of swooping."
154526,Sword,n.,"An offensive weapon, having a long and usually sharp/pointed blade with a cutting edge or edges. It is the general term, including the small sword, rapier, saber, scimiter, and many other varieties."
154527,Sword,n.,"Hence, the emblem of judicial vengeance or punishment, or of authority and power."
154528,Sword,n.,"Destruction by the sword, or in battle; war; dissension."
154529,Sword,n.,The military power of a country.
154530,Sword,n.,One of the end bars by which the lay of a hand loom is suspended.
154552,Swore,,imp. of Swear.
154553,Sworn,,p. p. of Swear.
154558,Swown,v. & n.,Swoon.
154560,Swung,,imp. & p. p. of Swing.
154573,Sycee,n.,"Silver, pounded into ingots of the shape of a shoe, and used as currency. The most common weight is about one pound troy."
154605,Syker,a. & adv.,See Sicker.
154648,Sylph,n.,An imaginary being inhabiting the air; a fairy.
154649,Sylph,n.,"Fig.: A slender, graceful woman."
154650,Sylph,n.,"Any one of several species of very brilliant South American humming birds, having a very long and deeply-forked tail; as, the blue-tailed sylph (Cynanthus cyanurus)."
154656,Sylva,n.,Same as Silva.
154673,Symar,n.,Alt. of Symarr
154937,Synod,n.,An ecclesiastic council or meeting to consult on church matters.
154938,Synod,n.,An assembly or council having civil authority; a legislative body.
154939,Synod,n.,A conjunction of two or more of the heavenly bodies.
155023,Syren,n.,See Siren.
155046,Syrma,n.,"A long dress, trailing on the floor, worn by tragic actors in Greek and Roman theaters."
155054,Syrup,a.,Alt. of Syrupy
155096,Sythe,"prep., adv., conj. & n.","See Sith, Sithe."
155097,Sythe,n.,Scythe.
155121,Tabby,n.,"A kind of waved silk, usually called watered silk, manufactured like taffeta, but thicker and stronger. The watering is given to it by calendering."
155122,Tabby,n.,"A mixture of lime with shells, gravel, or stones, in equal proportions, with an equal proportion of water. When dry, this becomes as hard as rock."
155123,Tabby,n.,"A brindled cat; hence, popularly, any cat."
155124,Tabby,n.,An old maid or gossip.
155125,Tabby,a.,"Having a wavy or watered appearance; as, a tabby waistcoat."
155126,Tabby,a.,"Brindled; diversified in color; as, a tabby cat."
155129,Tabby,v. t.,"To water; to cause to look wavy, by the process of calendering; to calender; as, to tabby silk, mohair, ribbon, etc."
155135,Taber,v. i.,Same as Tabor.
155154,Tabes,n.,"Progressive emaciation of the body, accompained with hectic fever, with no well-marked logical symptoms."
155158,Tabid,a.,Affected by tabes; tabetic.
155165,Table,n.,"A smooth, flat surface, like the side of a board; a thin, flat, smooth piece of anything; a slab."
155166,Table,n.,"A thin, flat piece of wood, stone, metal, or other material, on which anything is cut, traced, written, or painted; a tablet"
155167,Table,n.,a memorandum book.
155168,Table,n.,"Any smooth, flat surface upon which an inscription, a drawing, or the like, may be produced."
155169,Table,n.,"Hence, in a great variety of applications: A condensed statement which may be comprehended by the eye in a single view; a methodical or systematic synopsis; the presentation of many items or particulars in one group; a scheme; a schedule."
155170,Table,n.,"A view of the contents of a work; a statement of the principal topics discussed; an index; a syllabus; a synopsis; as, a table of contents."
155171,Table,n.,"A list of substances and their properties; especially, a list of the elementary substances with their atomic weights, densities, symbols, etc."
155172,Table,n.,"Any collection and arrangement in a condensed form of many particulars or values, for ready reference, as of weights, measures, currency, specific gravities, etc.; also, a series of numbers following some law, and expressing particular values corresponding to certain other numbers on which they depend, and by means of which they are taken out for use in computations; as, tables of logarithms, sines, tangents, squares, cubes, etc.; annuity tables; interest tables; astronomical tables, etc."
155173,Table,n.,The arrangement or disposition of the lines which appear on the inside of the hand.
155174,Table,n.,"An article of furniture, consisting of a flat slab, board, or the like, having a smooth surface, fixed horizontally on legs, and used for a great variety of purposes, as in eating, writing, or working."
155175,Table,n.,"Hence, food placed on a table to be partaken of; fare; entertainment; as, to set a good table."
155176,Table,n.,The company assembled round a table.
155177,Table,n.,"One of the two, external and internal, layers of compact bone, separated by diploe, in the walls of the cranium."
155178,Table,n.,"A stringcourse which includes an offset; esp., a band of stone, or the like, set where an offset is required, so as to make it decorative. See Water table."
155179,Table,n.,The board on the opposite sides of which backgammon and draughts are played.
155180,Table,n.,"One of the divisions of a backgammon board; as, to play into the right-hand table."
155181,Table,n.,The games of backgammon and of draughts.
155182,Table,n.,A circular plate of crown glass.
155183,Table,n.,"The upper flat surface of a diamond or other precious stone, the sides of which are cut in angles."
155184,Table,n.,"A plane surface, supposed to be transparent and perpendicular to the horizon; -- called also perspective plane."
155185,Table,n.,The part of a machine tool on which the work rests and is fastened.
155188,Table,v. t.,"To form into a table or catalogue; to tabulate; as, to table fines."
155189,Table,v. t.,"To delineate, as on a table; to represent, as in a picture."
155190,Table,v. t.,To supply with food; to feed.
155191,Table,v. t.,"To insert, as one piece of timber into another, by alternate scores or projections from the middle, to prevent slipping; to scarf."
155192,Table,v. t.,"To lay or place on a table, as money."
155193,Table,v. t.,"In parliamentary usage, to lay on the table; to postpone, by a formal vote, the consideration of (a bill, motion, or the like) till called for, or indefinitely."
155194,Table,v. t.,"To enter upon the docket; as, to table charges against some one."
155195,Table,v. t.,To make board hems in the skirts and bottoms of (sails) in order to strengthen them in the part attached to the boltrope.
155196,Table,v. i.,To live at the table of another; to board; to eat.
155227,Taboo,n.,"A total prohibition of intercourse with, use of, or approach to, a given person or thing under pain of death, -- an interdict of religious origin and authority, formerly common in the islands of Polynesia; interdiction."
155230,Taboo,v. t.,"To put under taboo; to forbid, or to forbid the use of; to interdict approach to, or use of; as, to taboo the ground set apart as a sanctuary for criminals."
155231,Tabor,n.,"A small drum used as an accompaniment to a pipe or fife, both being played by the same person."
155234,Tabor,v. i.,"To play on a tabor, or little drum."
155235,Tabor,v. i.,To strike lightly and frequently.
155236,Tabor,v. t.,To make (a sound) with a tabor.
155274,Tacet,v.impers.,It is silent; -- a direction for a vocal or instrumental part to be silent during a whole movement.
155275,Tache,n.,Something used for taking hold or holding; a catch; a loop; a button.
155276,Tache,n.,"A spot, stain, or blemish."
155290,Tacit,a.,"Done or made in silence; implied, but not expressed; silent; as, tacit consent is consent by silence, or by not interposing an objection."
